c498-902 stampede tacc utexas edu
Running on sampede.tacc.xsede.org
TACC: Starting up job 7716193
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
LAMMPS (10 Feb 2015)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 10 10 10
Reading data file ...
  orthogonal box = (-58.1437 -58.1437 -58.1437) to (58.1437 58.1437 58.1437)
  2 by 2 by 4 MPI processor grid
  reading atoms ...
  12288 atoms
Changing box ...
  triclinic box = (-58.1437 -58.1437 -58.1437) to (58.1437 58.1437 58.1437) with tilt (0 0 0)
Reading potential file CH.airebo with DATE: 2011-10-25
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 7
Setting up minimization ...
Memory usage per processor = 5.10815 Mbytes
Step Temp PotEng Press Pxx Pyy Pzz Pxy Pxz Pyz Lx Ly Lz Volume 
   24000            0    -92177.29   -1.0395306   -0.8848219    29.955088   -32.188858 -0.0012126765  0.001212349 -4.9616164e-06    116.63382    116.62516     116.6426    1586623.7 
   24500            0   -92193.569   -49.990301   -51.256796   -61.730321   -36.983785  -0.00119541 0.0011951704 -4.8755418e-06    116.64245     116.6454    116.63844      1586960 
   25000            0   -92210.935   -71.120816   -69.828125   -32.035825    -111.4985 -0.0011775753 0.0011772673 -4.7632594e-06    116.64622    116.63558    116.65796    1587143.3 
   25500            0   -92230.848   -52.277895   -51.990747   -62.322586   -42.520352 -0.0011576668 0.0011574552 -4.5778721e-06    116.64568    116.64859    116.64301    1587109.4 
   26000            0   -92249.223    67.401221    68.436556    56.533651    77.233456 -0.001140507  0.001140287 -4.3822605e-06    116.63041    116.63377    116.62793    1586494.9 
   26500            0   -92266.962   -5.7191076   -4.4589493   -22.803338    10.104964 -0.0011220088 0.0011218547 -4.3201075e-06    116.64246    116.64764    116.63834    1586989.1 
   27000            0    -92286.69    -19.25026    -19.21742   -19.519562   -19.013797 -0.0011023395 0.0011022509 -4.2378589e-06    116.64671    116.64679    116.64665    1587148.4 
   27500            0   -92305.085   -4.0694191   -4.3250349   -2.8954754    -4.987747 -0.0010844168 0.0010844131 -4.1350292e-06    116.64635    116.64594    116.64654    1587130.5 
   28000            0   -92319.924   -59.019017   -57.749411   -64.542818   -54.764822 -0.0010693524 0.0010694313 -4.0942122e-06    116.65526    116.65718    116.65441    1587511.8 
   28500            0   -92337.988    10.995811    10.721092    14.780575    7.4857658 -0.0010524668 0.0010525541 -3.9342596e-06    116.64794    116.64679    116.64886    1587195.2 
   29000            0   -92357.589   -4.1635101    -6.182856    9.0505379   -15.358212 -0.001033287 0.0010334605 -3.8526964e-06    116.65292     116.6486    116.65552    1587378.3 
   29500            0   -92377.993    6.3988436    8.3456075   -24.190642    35.041565 -0.001013628 0.0010139418 -3.8237587e-06    116.65289    116.66213     116.6453    1587422.9 
   30000            0   -92393.339    66.213603    65.205576    79.154849    54.280384 -0.00099952445 0.00099981119 -3.6208064e-06    116.64737     116.6434    116.65047    1587163.3 
